"Name","Level","Age","RW hits Average","Total","Speed","Strength","Defense","Dexterity","Spy Date","Xanax Total","Xanax Avg","Total Time Active","Time Active Raw","TIme Active Recent","Time Active Recent Raw","Refill Total","Refill Diff"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=196532"", ""HarryWho [196532]"")","89","6563","0","","701670318","704815852","154729921","887875390","2023-02-21T23:00:00.000Z","2,576","2.7","175 days 19 hours ","15190748","10 days 20 hours ","938574","1,831","32"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=361750"", ""bink [361750]"")","100","6246","0","13101349782","4128087462","4148712953","702861659","4121687708","2023-01-30T23:00:00.000Z","3,273","0.37","78 days 21 hours ","6815256","5 hours 37 minutes ","20270","3,197","13"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=443747"", ""Thunderboy [443747]"")","90","6061","0","","","","","","undefined","3,075","2.57","68 days 22 hours ","5957213","1 day 16 hours ","147037","984","27"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=489642"", ""Kid_Ick [489642]"")","100","5971","0","","","","","","undefined","2,150","1.97","60 days 16 hours ","5245031","2 days 16 hours ","231509","1,425","28"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=539612"", ""DrUniverse [539612]"")","99","5917","0","4050413647","1001229787","1004167053","1000596598","1044420209","2021-12-17T23:00:00.000Z","3,781","0.57","89 days 4 hours ","7704094","11 hours 2 minutes ","39746","1,814","16"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=565019"", ""clyzon [565019]"")","100","5887","0","2060815334","360438696","1019435420","679749529","1191689","2021-12-17T23:00:00.000Z","2,641","1.3","43 days 19 hours ","3784192","1 hour 20 minutes ","4848","877","22"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=587450"", ""MysticKitty [587450]"")","100","5841","0","","","","","","undefined","3,198","2.1","39 days 19 hours ","3438233","8 hours 32 minutes ","30738","1,324","25"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=630999"", ""brooksey84 [630999]"")","100","5799","0","6900232715","1739945305","1296789593","2305303055","1558194762","2021-12-17T23:00:00.000Z","7,897","2.73","256 days 12 hours ","22163395","3 days ","260871","3,259","25"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=852964"", ""SourRon [852964]"")","100","5670","0","10682604029","2600001314","2934001550","2770004765","2378596400","2021-12-17T23:00:00.000Z","10,208","2.73","640 days 17 hours ","55360717","5 days 3 hours ","445270","4,490","32"
"=HYPERLINK(""https://www.torn.com/profiles.php?XID=982874"", ""SkinnyStoner [982874]"")","85","5507","0","","","","","","undefined","2,334","2.8","43 days 5 hours ","3733415","1 day 15 hours ","142650","869","28"
